Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.04   08.00,0.035,1.547,5.1483,400,0,250,0,300,
2017.09.04   09.00,0.043,1.389,3.207,400,0.0001,250,0,300,
2017.09.04   10.00,0.184,0.672,0,400,3.921,250,0.0283,300,
2017.09.04   11.00,0,2.493,87.5866,400,118.0869,250,135.9765,300,
2017.09.04   12.00,0.128,1.348,2.8363,400,156.511,250,201.4519,300,
2017.09.04   13.00,0,1.886,14.2139,400,210.6446,250,272.1429,300,
2017.09.04   14.00,0,1.472,4.1123,400,228.2283,250,293.7679,300,
2017.09.04   15.00,0.221,1.906,15.0915,400,185.4583,250,237.9142,300,
2017.09.04   16.00,0.256,2.369,60.4102,400,180.4753,250,231.055,300,
2017.09.04   17.00,0.48,1.214,1.8985,400,126.1809,250,161.4424,300,
2017.09.04   18.00,0.271,1.845,12.571,400,173.7426,250,222.4271,300,
2017.09.04   19.00,0.193,1.528,4.8634,400,184.5707,250,236.6002,300,
2017.09.04   20.00,0.354,1.761,9.7743,400,136.6104,250,175.1074,300,
2017.09.04   21.00,0.149,1.688,7.8543,400,153.9807,250,194.7286,300,
2017.09.04   22.00,0.276,1.856,12.9922,400,87.6246,250,94.0737,300,
2017.09.04   23.00,0.076,2.105,27.3929,400,5.948,250,0.0171,300,
2017.09.05   00.00,0.261,0.416,0,400,0.0001,250,0,300,
2017.09.05   01.00,0.284,2.18,34.2938,400,0,250,0,300,
2017.09.05   02.00,0.088,0.548,0,400,0,250,0,300,
2017.09.05   03.00,0,1.192,1.7775,400,0,250,0,300,
2017.09.05   04.00,0.217,1.699,8.1175,400,0,250,0,300,
2017.09.05   05.00,0.154,1.9,14.8227,400,0,250,0,300,
2017.09.05   06.00,0.15,1.398,3.2947,400,0,250,0,300,
2017.09.05   07.00,0.122,1.085,1.29,400,0,250,0,300,
2017.09.05   08.00,0.174,0.7,0,400,0,250,0,300,
2017.09.05   09.00,0,2.095,26.5845,400,0.0001,250,0,300,
2017.09.05   10.00,0,1.742,9.2335,400,3.8881,250,0.0331,300,
2017.09.05   11.00,0.274,3.013,400,400,84.4009,250,98.4798,300,
2017.09.05   12.00,0.343,2.534,99.033,400,117.3299,250,151.7103,300,
2017.09.05   13.00,0.433,2.02,21.2349,400,119.1097,250,154.2677,300,
2017.09.05   14.00,0.364,1.58,5.6833,400,144.8746,250,186.7985,300,
2017.09.05   15.00,0.477,2.55,103.8954,400,124.3125,250,159.694,300,
2017.09.05   16.00,0.52,2.652,141.0268,400,116.2585,250,149.0269,300,
2017.09.05   17.00,0.503,1.3,2.4565,400,120.4047,250,154.2451,300,
2017.09.05   18.00,0.304,3.004,400,400,165.5603,250,212.247,300,
2017.09.05   19.00,0.329,1.051,1.1651,400,153.0764,250,196.5656,300,
2017.09.05   20.00,0.574,1.376,3.0845,400,89.7364,250,115.3036,300,
2017.09.05   21.00,0.613,0.342,0,400,69.5023,250,88.2517,300,
2017.09.05   22.00,0.795,2.761,195.4852,400,24.2424,250,26.1916,300,
2017.09.05   23.00,0.72,1.349,2.8449,400,1.3259,250,0.0041,300,
2017.09.06   00.00,0.945,3.205,400,400,0,250,0,300,
2017.09.06   01.00,0.808,2.327,53.2681,400,0,250,0,300,
2017.09.06   02.00,0.684,2.104,27.311,400,0,250,0,300,
2017.09.06   03.00,0.906,1.599,6.0161,400,0,250,0,300,
2017.09.06   04.00,0.843,2.148,31.1589,400,0,250,0,300,
2017.09.06   05.00,0.83,1.368,3.0115,400,0,250,0,300,
2017.09.06   06.00,0.732,2.425,71.4443,400,0,250,0,300,
2017.09.06   07.00,0.784,1.376,3.0845,400,0,250,0,300,
2017.09.06   08.00,0.584,1.66,7.2224,400,0,250,0,300,
2017.09.06   09.00,0.476,0.797,0,400,0,250,0,300,
2017.09.06   10.00,0.632,1.996,19.7618,400,1.1475,250,0.0116,300,
2017.09.06   11.00,0.73,2.389,64.1403,400,30.8831,250,36.5357,300,
